d1,d2,d3,l
36,130,228,2
36,129,233,2
41,135,181,2
40,153,237,2
37,131,242,2
41,144,184,2
37,128,244,2
37,129,235,2
37,130,242,2
39,155,234,2
36,128,240,2
37,132,246,2
37,133,237,2
37,130,232,2
37,130,243,2
37,126,240,2
41,133,178,2
36,131,228,2
38,131,252,2
37,131,246,2
36,130,231,2
41,143,157,2
39,154,250,2
39,162,255,2
37,147,255,2
39,152,255,2
39,151,255,2
37,133,243,2
37,119,246,2
37,129,240,2
41,146,184,2
41,141,174,2
39,148,159,2
37,133,225,2
37,130,226,2
37,128,239,2
40,152,250,2
37,131,243,2
38,132,245,2
41,148,171,2
41,143,169,2
41,140,182,2
39,152,249,2
36,125,241,2
39,159,234,2
40,149,255,2
36,131,228,2
39,166,255,2
37,157,255,2
39,163,254,2
37,130,237,2
41,138,177,2
42,127,169,2
40,152,181,2
37,129,235,2
38,157,255,2
41,146,188,2
37,126,224,2
39,157,244,2
41,142,180,2
37,128,236,2
37,134,250,2
41,143,160,2
40,152,173,2
41,144,166,2
39,150,255,2
41,144,167,2
37,133,243,2
40,150,179,2
40,147,178,2
37,141,255,2
42,151,179,2
33,134,255,2
37,132,249,2
41,141,157,2
39,157,255,2
40,167,254,2
37,130,244,2
42,142,170,2
36,129,227,2
41,143,202,2
39,138,240,2
42,152,177,2
39,144,255,2
41,143,162,2
37,135,245,2
37,131,241,2
37,134,244,2
39,163,244,2
39,151,251,2
41,144,167,2
41,135,180,2
40,143,137,2
41,146,198,2
40,143,137,2
37,128,236,2
37,126,234,2
39,153,252,2
36,130,231,2
38,173,255,2
37,142,255,2
38,150,240,2
36,133,228,2
36,133,235,2
39,153,245,2
41,144,166,2
41,142,180,2
41,142,171,2
42,137,168,2
40,155,252,2
39,163,255,2
42,131,164,2
37,132,244,2
39,152,253,2
41,147,177,2
36,129,232,2
36,130,242,2
41,139,221,2
41,151,181,2
41,139,176,2
37,155,255,2
43,146,218,2
37,131,242,2
39,154,253,2
41,155,245,2
37,129,242,2
41,141,155,2
41,134,186,2
41,143,194,2
42,137,168,2
37,130,236,2
40,154,254,2
1,107,140,3
3,194,106,3
4,208,138,3
3,179,147,3
3,184,156,3
3,193,146,3
3,180,152,3
2,153,112,3
3,192,143,3
3,204,106,3
2,179,147,3
3,184,152,3
2,190,71,3
4,166,77,3
4,185,68,3
1,110,156,3
4,206,62,3
2,204,106,3
4,136,156,3
3,187,150,3
4,159,77,3
3,192,155,3
2,181,105,3
0,108,155,3
4,206,66,3
3,192,154,3
2,204,106,3
3,194,108,3
2,198,99,3
3,181,149,3
3,187,151,3
3,194,109,3
0,107,153,3
3,180,148,3
4,216,98,3
3,193,147,3
3,186,159,3
2,118,156,3
3,187,148,3
2,160,142,3
4,188,67,3
1,171,70,3
0,110,163,3
3,178,147,3
3,180,151,3
2,188,68,3
3,181,162,3
2,181,160,3
3,185,162,3
2,180,143,3
4,188,68,3
2,217,94,3
3,180,149,3
1,182,115,3
2,135,157,3
4,164,76,3
3,185,143,3
2,190,74,3
4,170,73,3
2,185,73,3
2,173,155,3
2,185,157,3
1,174,76,3
4,177,71,3
3,181,151,3
3,220,104,3
2,142,165,3
2,172,144,3
3,204,141,3
4,177,72,3
3,185,105,3
3,195,149,3
1,166,68,3
2,176,148,3
3,207,138,3
4,202,62,3
3,177,149,3
3,189,155,3
3,189,142,3
3,180,149,3
2,150,79,3
3,207,114,3
3,195,154,3
3,198,70,3
3,188,156,3
0,107,157,3
3,165,158,3
1,147,73,3
2,194,109,3
3,182,157,3
3,184,146,3
3,183,160,3
4,184,66,3
3,174,106,3
2,172,162,3
3,175,162,3
3,180,166,3
3,186,167,3
2,189,109,3
2,204,105,3
3,183,167,3
2,220,101,3
4,206,64,3
4,168,103,3
3,192,158,3
2,210,96,3
4,168,110,3
2,188,111,3
2,165,159,3
0,105,162,3
3,211,138,3
3,234,95,3
2,170,78,3
4,207,95,3
3,187,154,3
4,184,156,3
3,185,164,3
3,190,162,3
3,182,154,3
3,192,155,3
3,173,156,3
3,193,153,3
3,201,101,3
3,177,149,3
5,170,69,3
3,192,155,3
3,190,161,3
4,182,70,3
3,190,160,3
3,180,150,3
2,147,127,3
3,185,153,3
2,180,160,3
3,188,155,3
3,212,110,3
3,215,114,3
2,200,112,3
5,174,68,3
3,182,160,3
3,183,161,3
3,212,106,3
3,188,154,3
3,185,151,3
3,190,158,3
4,174,69,3
3,179,76,3
3,186,159,3
3,187,164,3
4,205,96,3
6,204,50,3
4,218,100,3
3,199,110,3
3,177,150,3
2,185,153,3
8,172,50,3
6,194,49,3
6,219,49,3
4,207,95,3
4,188,68,3
3,188,155,3
4,202,97,3
3,174,141,3
3,165,68,3
3,230,102,3
2,192,110,3
2,141,146,3
0,118,159,3
0,114,157,3
3,187,154,3
3,172,105,3
2,171,152,3
4,223,96,3
3,240,100,3
3,187,110,3
3,204,105,3
3,171,156,3
3,194,143,3
3,199,146,3
3,169,144,3
3,204,117,3
2,172,151,3
3,179,158,3
3,183,160,3
3,198,92,3
4,164,75,3
4,206,62,3
3,184,155,3
4,202,62,3
4,194,109,3
3,190,154,3
3,202,146,3
3,192,154,3
3,181,152,3
2,161,149,3
3,199,150,3
3,177,151,3
4,165,71,3
2,173,158,3
0,119,167,3
4,177,67,3
4,198,96,3
2,181,158,3
3,187,166,3
3,180,166,3
4,190,64,3
3,182,164,3
5,179,65,3
2,181,159,3
1,181,137,3
3,180,154,3
4,162,76,3
3,186,157,3
4,233,101,3
3,193,148,3
3,153,111,3
2,191,107,3
4,190,66,3
2,173,153,3
2,178,76,3
4,183,67,3
1,135,162,3
3,178,76,3
0,105,154,3
2,155,155,3
2,172,157,3
6,171,255,4
5,171,255,4
6,162,255,4
6,168,255,4
6,168,255,4
6,172,255,4
6,170,255,4
6,164,255,4
5,166,255,4
6,177,255,4
5,146,255,4
5,144,255,4
6,169,255,4
6,167,255,4
6,168,255,4
6,169,255,4
6,166,255,4
6,172,255,4
5,162,255,4
6,164,255,4
6,170,255,4
6,167,255,4
6,166,255,4
6,167,255,4
6,172,255,4
6,169,255,4
6,167,255,4
6,171,255,4
6,167,255,4
6,169,255,4
6,162,255,4
6,167,255,4
6,170,255,4
6,161,255,4
6,160,255,4
6,176,255,4
6,170,255,4
5,166,255,4
6,158,255,4
6,169,255,4
5,173,255,4
7,164,255,4
6,171,255,4
6,167,255,4
6,168,255,4
7,166,255,4
5,166,255,4
7,166,255,4
6,166,255,4
5,171,255,4
6,164,255,4
6,176,255,4
7,166,255,4
6,171,255,4
6,167,255,4
6,167,255,4
5,163,255,4
7,165,255,4
5,164,255,4
6,162,255,4
